dmd_id,month, year, count
100111000001109,5,2019,83385
100211000001103,7,2022,73581
100411000001104,5,2023,25295
10053611000001102,12,2019,34504
100611000001101,4,2018,57923
10065411000001106,8,2019,31454
10065611000001109,8,2020,117485
10066511000001103,9,2019,112961
10066711000001108,12,2019,71746
10070511000001105,7,2023,14148
10070811000001108,11,2021,99481
10072211000001108,3,2018,24335
10075111000001109,3,2019,100730
100911000001107,7,2023,38810
101111000001103,3,2023,10025
10130811000001101,7,2019,123085
10131111000001102,8,2021,117803
10131611000001105,3,2018,82601
10131811000001109,4,2021,7822
10132411000001102,8,2019,118915
10137211000001103,10,2023,5798
10137711000001105,4,2018,103154
10138311000001107,7,2023,47795
10138511000001101,9,2018,102104
10138711000001106,7,2022,100747
10138911000001108,6,2022,115029
10139111000001103,8,2020,87521
10139311000001101,6,2018,53422
101411000001108,9,2023,26255
10154511000001109,3,2022,117890
10154911000001102,10,2023,115280
10155111000001101,2,2019,18193
10155311000001104,10,2020,114892
10155511000001105,3,2022,2579
10163611000001102,11,2022,23758
10168211000001107,7,2021,44344
101711000001102,10,2020,78460
10185611000001101,6,2022,101220
10191511000001102,10,2019,46404
10192611000001109,9,2023,110336
10192911000001103,10,2022,76631
10194911000001107,3,2023,73855
10197811000001106,5,2021,102676
10198011000001104,5,2023,65037
10198211000001109,10,2022,116286
10198411000001108,7,2019,89669
102011000001107,9,2018,75045
10211000001106,9,2018,31285
102111000001108,11,2020,105602
10241311000001102,4,2018,92149
10241511000001108,10,2021,48428
10254711000001102,10,2023,2357
102611000001100,2,2022,80064
10261511000001103,12,2022,21084
10264711000001106,8,2023,27709
102711000001109,6,2018,98701
10272611000001100,11,2023,10430
10272911000001106,9,2021,115816
10273811000001109,4,2018,60199
10274011000001101,2,2019,29302
10274311000001103,9,2022,3754
10274511000001109,5,2020,49996
10275111000001101,11,2022,61620
10276311000001109,12,2023,39504
10276611000001104,11,2020,23931
10276811000001100,9,2023,106202
10277911000001108,7,2023,25608
10278611000001103,5,2018,115642
10278811000001104,6,2023,36475
10279011000001100,11,2020,16736
10279211000001105,1,2020,28450
10279411000001109,7,2021,9958
10279611000001107,8,2022,111330
10285211000001101,3,2022,93413
10285411000001102,12,2020,5278
10285611000001104,7,2022,123435
10285711000001108,9,2020,78051
10285811000001100,7,2018,113516
10286211000001107,1,2020,120050
10286311000001104,5,2019,108384
10286811000001108,4,2021,39958
10287011000001104,8,2019,26467
10287511000001107,2,2023,22145
10287611000001106,9,2022,41283
10287911000001100,2,2018,107400
10288011000001103,8,2022,82108
10288111000001102,9,2021,87164
10288511000001106,12,2022,63744
10288611000001105,7,2018,92186
10288911000001104,11,2018,102603
10289011000001108,3,2020,92670
10289311000001106,7,2021,23800
10289511000001100,1,2019,54236
10289811000001102,2,2018,54381
10290011000001104,3,2023,62489
10290211000001109,10,2022,71967
10290411000001108,5,2022,48550
10290511000001107,12,2018,56063
10290811000001105,5,2018,62133
10291011000001108,11,2021,112700
102911000001106,1,2023,32905
10291611000001101,6,2018,12924
10291711000001105,7,2023,34015
10292011000001100,9,2022,32094
10292211000001105,3,2018,1676
10292311000001102,9,2020,3677
10292611000001107,6,2023,121264
10292711000001103,10,2020,26187
10293311000001107,6,2020,43131
10293511000001101,12,2019,11570
10294011000001106,1,2018,62757
10294311000001109,10,2021,3658
10294511000001103,9,2018,71533
10294711000001108,5,2019,81486
10294811000001100,4,2018,17218
10295411000001101,5,2021,83647
10295711000001107,1,2020,29139
10295911000001109,10,2020,40321
10296511000001109,5,2023,5197
10296711000001104,4,2023,28144
10296911000001102,6,2018,47094
10297111000001102,4,2018,74795
10297311000001100,4,2018,65383
10297411000001107,10,2018,70963
10297511000001106,1,2018,7387
10297811000001109,8,2020,100232
10298011000001102,9,2023,90100
10298111000001101,11,2018,20505
10298411000001106,2,2023,67709
10298511000001105,5,2020,6958
10298811000001108,6,2023,5260
10298911000001103,7,2023,95887
10299211000001102,10,2021,59599
10299411000001103,9,2021,58364
10299611000001100,7,2019,117423
10299811000001101,3,2023,7001
10299911000001106,1,2019,81692
10300211000001100,6,2020,60988
10300411000001101,12,2023,14961
10300511000001102,11,2022,114436
10300811000001104,11,2018,59316
10301011000001101,1,2020,98553
10301211000001106,1,2018,48934
10301411000001105,8,2023,73472
10301611000001108,4,2018,117940
10301811000001107,3,2018,53742
10302011000001109,5,2022,48712
10302211000001104,11,2021,97384
10302411000001100,2,2020,100113
10302611000001102,1,2019,104715
10302811000001103,4,2019,19990
10303011000001100,3,2023,20163
10304311000001100,11,2021,24928
10304811000001109,9,2018,1047
10305211000001109,6,2022,76292
10307911000001105,7,2022,77634
10310711000001105,12,2018,114006
10311011000001104,11,2018,10647
10311411000001108,9,2020,47227
10320711000001102,5,2019,40500
103211000001108,4,2020,47144
10324611000001104,1,2021,48996
10324911000001105,5,2019,4333
10325311000001108,2,2018,26900
10325511000001102,8,2019,72937
10325711000001107,3,2019,74960
10325811000001104,4,2018,93331
10326211000001106,9,2022,48822
10326911000001102,8,2021,51872
10349811000001104,11,2019,57213
10350011000001100,3,2019,88139
10350211000001105,8,2021,93501
10356611000001109,7,2022,70917
10360711000001106,11,2022,8412
10361211000001105,11,2022,96375
10376411000001109,3,2019,105277
10376711000001103,2,2022,104876
10376911000001101,9,2020,21277
10377111000001101,7,2018,16353
10377311000001104,10,2022,77138
10377411000001106,4,2021,92940
10377711000001100,8,2019,3950
10377811000001108,12,2021,45761
10378111000001100,6,2019,35896
10378611000001108,8,2022,82652
10378911000001102,6,2019,93471
10379111000001107,4,2020,67272
10379411000001102,2,2020,118965
10381711000001100,12,2018,103690
10382911000001109,12,2020,12064
10383111000001100,8,2021,119664
10383311000001103,4,2023,7688
10383611000001108,11,2018,35904
10383911000001102,10,2023,16969
10384111000001103,5,2021,109898
10384311000001101,1,2023,7741
10384611000001106,11,2022,40737
10385111000001104,7,2023,19615
10385311000001102,7,2021,116407
10385511000001108,12,2023,51327
10385711000001103,9,2018,75270
10385911000001101,11,2023,75252
10386011000001109,9,2021,39199
10386311000001107,10,2019,107576
10386411000001100,4,2023,4191
10386911000001108,11,2022,22551
10387311000001105,5,2023,6670
10387911000001106,6,2021,70136
10388111000001109,4,2019,91287
10388311000001106,8,2023,24272
10388511000001100,10,2021,40375
10389311000001100,9,2019,67560
10389711000001101,12,2019,2826
10389911000001104,9,2023,91688
10390111000001108,2,2020,121239
10390211000001102,1,2018,9022
10390711000001109,8,2023,70412
10390811000001101,2,2022,29962
10391211000001108,12,2022,93650
10391411000001107,6,2022,97379
10391611000001105,10,2023,98906
10391811000001109,12,2019,41054
10392011000001106,12,2020,25531
10392211000001101,1,2023,77668
10392611000001104,11,2021,27957
10392811000001100,4,2019,101047
10393011000001102,6,2022,29404
10394011000001100,11,2022,39184
10394411000001109,3,2020,50117
10394811000001106,4,2022,35699
10395011000001101,10,2023,59360
10395211000001106,11,2023,696
10395311000001103,5,2018,62765
10395611000001108,7,2022,53002
10395811000001107,2,2021,117210
10396111000001106,6,2022,116052
10396411000001101,3,2018,48251
10396611000001103,7,2020,21032
10396811000001104,5,2019,122227
10396911000001109,6,2020,108956
10397111000001109,6,2019,32543
10397811000001102,1,2022,58584
10398111000001105,3,2019,29631
10398311000001107,11,2022,69651
10398511000001101,5,2018,57392
10398711000001106,6,2019,6060
10398911000001108,6,2020,21000
10399111000001103,12,2020,10351
10399311000001101,5,2021,18173
10399511000001107,4,2021,20478
10399611000001106,12,2019,88743
10399811000001105,2,2021,95715
10400111000001101,2,2021,14896
10400411000001106,9,2022,4508
10400711000001100,11,2021,105738
104011000001101,8,2023,53501
10401211000001101,4,2022,73734
10401611000001104,10,2021,122685
10401911000001105,2,2019,104332
10402611000001105,5,2022,21742
10402811000001109,10,2019,12100
10403011000001107,2,2019,4914
10403211000001102,5,2020,31899
10403311000001105,4,2020,2418
10403611000001100,11,2022,86827
10403811000001101,5,2019,14156
10404011000001109,4,2019,117913
10404211000001104,10,2020,54625
10405411000001104,12,2019,23355
10405611000001101,10,2018,25676
10405811000001102,3,2020,60815
10406011000001104,2,2018,123423
10406711000001102,5,2022,1490
10407011000001101,4,2020,122065
10407311000001103,8,2020,119232
